© 2000-2025 QIAGEN. All rights reserved.

Analysis Details for My Projects->Nasal_TB->blood5k_ipa - 2025-11-25 05:21 PM
Workspace	My Projects
Project	Nasal_TB
Analysis	blood5k_ipa - 2025-11-25 05:21 PM
Date	Tue Nov 25 14:21:55 PST 2025
Analysis ID	43056416

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.05
Cutoff for Expression qvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Human) AND
(confidence = High (predicted) OR Experimentally Observed) AND
(tissues = Other T lymphocytes OR Activated CD56dim NK cells OR Bone marrow-derived dendritic cells OR Th17 cells OR Cytotoxic T cells OR Memory B cells OR Peripheral blood lymphocytes OR Activated CD56bright NK cells OR B lymphocytes not otherwise specified OR Effector memory cytotoxic T cells OR Other Monocyte-derived dendritic cells OR Effector memory RA+ cytotoxic T cells OR BDCA-1+ dendritic cells OR Dendritic cells not otherwise specified OR Myeloid dendritic cells OR Other Peripheral blood leukocytes OR PBMCs OR NK cells not otherwise specified OR Other NK cells OR Granulocytes not otherwise specified OR Other Dendritic cells OR Mature monocyte-derived dendritic cells OR Peripheral blood monocytes OR CD4+ T-lymphocytes OR Macrophages not otherwise specified OR Activated Vd1 Gamma-delta T cells OR Intraepithelial T lymphocytes OR Pro-B lymphocytes OR Monocyte-derived macrophage OR Mononuclear leukocytes not otherwise specified OR Other Granulocytes OR Plasma cells OR Plasmacytoid dendritic cells OR Immature monocyte-derived dendritic cells OR Other Memory T lymphocytes OR Immune cells not otherwise specified OR CD56bright NK cells OR Langerhans cells OR Central memory helper T cells OR Central memory cytotoxic T cells OR Other Mononuclear leukocytes OR Murine NKT cells OR Th2 cells OR Memory T lymphocytes not otherwise specified OR Naive B cells OR Neutrophils OR Other Macrophages OR Vd1 Gamma-delta T cells OR BDCA-3+ dendritic cells OR Activated Vd2 Gamma-delta T cells OR Effector T cells OR Eosinophils OR Vd2 Gamma-delta T cells OR CD56dim NK cells OR CD34+ cells OR Mast cells OR Peritoneal macrophages OR Naive helper T cells OR Lymphocytes not otherwise specified OR Monocytes not otherwise specified OR Effector memory helper T cells OR Activated helper T cells OR Other Monocytes OR T lymphocytes not otherwise specified OR Th1 cells OR Natural T-regulatory cells OR Bone marrow-derived macrophages OR Thymocytes OR Monocyte-derived dendritic cells not otherwise specified OR Peripheral blood leukocytes not otherwise specified OR Other Immune cells OR Other Lymphocytes OR Other B lymphocytes OR Pre-B lymphocytes OR Microglia)

Canonical Pathways for My Projects->Nasal_TB->blood5k_ipa - 2025-11-25 05:21 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Potassium Channels	5.32E-01	2.5	1.62E-01	GABBR1,GNG10,GNG7,KCNA3,KCNAB3,KCNB1,KCND1,KCNG2,KCNH2,KCNH7,KCNH8,KCNJ15,KCNJ2,KCNMA1,KCNS1,KCNS2	
Protein folding	5.32E-01	1.5	1.62E-01	AP3M1,CCT3,FBXL5,FBXO6,FBXW7,GBA1,GNA15,GNAQ,GNG10,GNG7,PFDN1,STAT3,TP53,TUBA1C,TUBA4A,WRAP53	
Cardiac β-adrenergic Signaling	5.34E-01	1.507556722888818	1.56E-01	ADCY3,ADCY4,AKAP13,CACNA1A,CACNA1E,CACNA2D3,CACNB4,CACNG8,GNA12,GNA15,GNAQ,GNAT2,GNG10,GNG7,GUCY1B1,NAPEPLD,PDE4B,PDE5A,PLD6,PPP1CB,PPP1CC,PPP1R10,PRKAR2B,SLC8A1,TDP2,TULP2	
Glutathione-mediated Detoxification	5.4E-01		1.92E-01	ANPEP,GSTK1,GSTO1,GSTO2,LANCL1	
RORA,B,C and NR1D1 (REV-ERBA) regulate gene expression	5.4E-01	1.3416407864998738	1.92E-01	CREBBP,EP300,PPARA,SMARCD3,TBL1X	
Bladder Cancer Signaling	5.43E-01	0.4472135954999579	1.61E-01	E2F3,E2F5,EGF,ERBB2,FGFR3,HDAC4,HDAC9,MAP2K2,MMP24,MMP25,MMP8,MMP9,RAF1,RALB,RAP2B,RASSF1,TFDP1,TP53	
Hedgehog ligand biogenesis	5.44E-01	2.1105794120443453	1.69E-01	ADAM17,DISP2,OS9,PSMA6,PSMB10,PSMB8,PSMB9,PSMC5,PSMD2,PSMD4,PSMD6	
WNT/Ca2+ Signaling Pathway	5.44E-01	2.5298221281347035	1.69E-01	CREB5,CREBBP,FZD1,FZD5,GSK3B,NFAT5,NFKB1,NFKB2,PLCD1,PLCL2,RELB	
Mitotic Metaphase and Anaphase	5.46E-01	0.6666666666666666	1.53E-01	ANAPC5,B9D2,CDC16,CENPC,CENPL,CENPO,CHMP2B,CLIP1,ERCC6L,KPNB1,LBR,LMNB1,NDC80,NDEL1,NUP133,NUP160,NUP188,NUP37,NUP43,NUP54,NUP58,NUP93,NUP98,PPP1CC,PSMA6,PSMB10,PSMB8,PSMB9,PSMC5,PSMD2,PSMD4,PSMD6,RCC2,TNPO1,TUBA1C,TUBA4A	
tRNA Splicing	5.52E-01	1.889822365046136	1.78E-01	NAPEPLD,PDE4B,PDE5A,PLD6,TDP2,TRPT1,TSEN34,TULP2	
ROBO SLIT Signaling Pathway	5.54E-01	-1.3416407864998738	1.60E-01	ACTR3,AKT3,APP,ARF1,ARPC1B,BLK,FOS,GSK3B,HCK,LYN,MYL5,MYL9,NEDD4,NRXN1,NRXN3,PAX9,PRKAR2B,RAC1,SRGAP1,UNC5B	
Melanocyte Development and Pigmentation Signaling	5.54E-01	2.6726124191242437	1.63E-01	ADCY3,ADCY4,CREB5,CREBBP,CRK,EP300,GRB2,GUCY1B1,MAP2K2,PIK3CB,PIK3R6,PRKAR2B,RAF1,RALB,RAP2B,SOS2	
Activation of IRF by Cytosolic Pattern Recognition Receptors	5.55E-01	1.6666666666666667	1.72E-01	CHUK,CREBBP,IFNAR1,NFKB1,NFKB2,NFKBIA,RELB,STAT1,TANK,TBK1	
Signaling by ERBB4	5.55E-01	2.5298221281347035	1.72E-01	ADAM17,APH1B,EGF,GRB2,MXD4,NCSTN,NEDD4,PSEN1,SPARC,STAT5A	
Inhibition of Angiogenesis by TSP1	5.55E-01	-0.4472135954999579	1.88E-01	AKT3,GUCY1B1,MAPK13,MAPK14,MMP9,TP53	
Thrombin signalling through proteinase activated receptors (PARs)	5.55E-01	1.6329931618554523	1.88E-01	ARRB2,GNA12,GNA15,GNAQ,GNG10,GNG7	
Glioma Invasiveness Signaling	5.61E-01	1.2649110640673518	1.69E-01	CD44,ITGB3,MMP9,PIK3CB,PIK3R6,PLAUR,RAC1,RAC2,RALB,RAP2B,RHOT1,TIMP2	
High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells	5.61E-01	2.3094010767585034	1.69E-01	ADCY3,ADCY4,ADM,CAPNS2,GNAQ,GNG10,GNG7,P2RY2,PIK3CB,PRKAR2B,TLN1,TRPV4	
LPS/IL-1 Mediated Inhibition of RXR Function	5.64E-01	0.8320502943378437	1.55E-01	ABCB11,ABCC2,ACOX1,ACSF2,ACSL1,ACSL3,ACSL4,ACSM1,ALDH16A1,ALDH1A2,ALDH6A1,CETP,CHST12,CHST15,CYP2J2,CYP2S1,FABP6,GSTK1,GSTO1,GSTO2,HS2ST1,HS3ST1,IL18RAP,IL1R1,IL1R2,IL1RAP,LY96,MAOA,MAOB,NDST1,NR1I3,PPARA,TLR4,TNFRSF1A	
DHCR24 Signaling Pathway	5.64E-01	0.0	1.59E-01	AKT3,APOA2,APOL1,APP,C4A,CETP,CLU,GSK3B,LCAT,MAPT,NFKB1,NFKB2,NR1I3,ORM1,PIK3CB,PIK3R6,PRKCD,RALB,RAP2B,SERPINA1,SERPINF1,TP53	
Proteasome assembly	5.68E-01	2.3333333333333335	1.76E-01	POMP,PSMA6,PSMB10,PSMB8,PSMB9,PSMC5,PSMD2,PSMD4,PSMD6	
UVB-Induced MAPK Signaling	5.68E-01	1.414213562373095	1.76E-01	BAD,FOS,H3-3B,MAPK13,MAPK14,PIK3CB,PIK3R6,PRKCD,TP53	
CDK5 Signaling	5.69E-01	0.0	1.63E-01	ADCY3,ADCY4,CACNA1A,FOSB,GUCY1B1,LAMA5,MAP2K2,MAPK13,MAPK14,MAPT,PPP1CB,PPP1CC,PPP1R10,PRKAR2B,RAF1,RALB,RAP2B	
Formation of Fibrin Clot (Clotting Cascade)	5.7E-01	2.6457513110645903	1.84E-01	CD177,F8,PRCP,PROC,PROS1,SERPINE2,SERPING1	
IL-17 Signaling	5.71E-01	1.2247448713915892	1.58E-01	AKT3,CCL2,CD70,CEBPB,CLCF1,FOS,GSK3B,IL15,IL17RA,JAK2,LCN2,LIF,MAP2K6,MAPK13,MAPK14,MMP9,MUC5AC,NFKB1,OSM,PIK3CB,PIK3R6,RALB,RAP2B,RGS16,TNFSF8	
Collagen degradation	5.71E-01	3.3166247903554	1.72E-01	ADAM17,ADAM9,COL17A1,COL23A1,COL4A2,COL6A3,CTSB,CTSD,FURIN,MMP8,MMP9	
Cytosolic sensors of pathogen-associated DNA	5.71E-01	2.7136021011998728	1.72E-01	AIM2,CHUK,CREBBP,EP300,NFKB1,NFKB2,NFKBIA,POLR1D,POLR3K,TBK1,TRIM21	
Advanced glycosylation endproduct receptor signaling	5.76E-01		2.31E-01	AGER,APP,S100A12	
Deubiquitination	5.77E-01	3.5074671176499073	1.53E-01	ARRB2,ATXN7,BABAM2,CCNA1,EP300,H2BC15,HGS,HIF1A,KAT2A,NFKBIA,NOD2,POLB,PSMA6,PSMB10,PSMB8,PSMB9,PSMC5,PSMD2,PSMD4,PSMD6,RAD23B,RHOT1,SIAH2,SMAD3,SNX3,STAMBP,SUDS3,TAF10,TNFAIP3,TNIP1,TP53,TRIM25,UCHL3,UCHL5,UFD1,UIMC1,USP15,USP3,USP37,USP44,USP9X,VCPIP1,VDAC1	
Regulation of TP53 Activity through Methylation	5.77E-01	0.0	2.11E-01	EP300,KMT5A,TP53,TTC5	
Degradation of beta-catenin by the destruction complex	5.84E-01	3.3565855667130946	1.67E-01	CSNK1A1,FRAT1,FRAT2,GSK3B,PSMA6,PSMB10,PSMB8,PSMB9,PSMC5,PSMD2,PSMD4,PSMD6,TCF7L1,TLE3,TLE4	
Dermatan Sulfate Biosynthesis	5.84E-01	0.6324555320336759	1.75E-01	B3GALT6,CHST12,CHST15,CHSY1,CSGALNACT2,DSE,HS2ST1,HS3ST1,NDST1,XYLT1	
Netrin-1 signaling	5.85E-01	1.414213562373095	1.82E-01	HJV,MYO10,NTN4,PITPNA,RAC1,RGMA,SIAH2,UNC5B	
Cilia Biogenesis Signaling Pathway	5.86E-01	-0.9284766908852594	1.57E-01	ANAPC5,CDC16,CEP63,CEP89,CIMAP3,CUL3,DYRK3,EGF,EHD1,FBXW7,GNA12,GNA15,GNAQ,GNAT2,GNG10,GNG7,HGF,IGF1R,KIF24,MAPK13,MAPK14,MAPKAPK2,NEDD9,NFKB1,NFKB2,RAB3IP,TUBA1C,TUBA4A,TXLNG,USP9X,YWHAQ	
All-trans-decaprenyl Diphosphate Biosynthesis	5.88E-01		5.00E-01	PDSS1	
Aspartate Biosynthesis	5.88E-01		5.00E-01	GOT2	
Cardiolipin Biosynthesis II	5.88E-01		5.00E-01	PGS1	
Cysteine Biosynthesis/Homocysteine Degradation	5.88E-01		5.00E-01	CBS	
Epoxysqualene Biosynthesis	5.88E-01		5.00E-01	FDFT1	
Formaldehyde Oxidation II (Glutathione-dependent)	5.88E-01		5.00E-01	ADH5	
GDP-L-fucose Biosynthesis I (from GDP-D-mannose)	5.88E-01		5.00E-01	GFUS	
Glutamate Degradation II	5.88E-01		5.00E-01	GOT2	
Glycine Degradation (Creatine Biosynthesis)	5.88E-01		5.00E-01	GATM	
L-glutamine Biosynthesis II (tRNA-dependent)	5.88E-01		5.00E-01	QRSL1	
Lipoate Biosynthesis and Incorporation II	5.88E-01		5.00E-01	LIAS	
Thyroid Hormone Biosynthesis	5.88E-01		5.00E-01	CTSD	
Transport of glycerol from adipocytes to the liver by Aquaporins	5.88E-01		5.00E-01	AQP9	
UDP-D-xylose and UDP-D-glucuronate Biosynthesis	5.88E-01		5.00E-01	UGDH	
β-alanine Degradation I	5.88E-01		5.00E-01	ALDH6A1	
Arginine Degradation VI (Arginase 2 Pathway)	5.99E-01		2.86E-01	ARG1,PYCR3	
Ceramide Biosynthesis	5.99E-01		2.86E-01	SPTLC1,SPTSSA	
Ceramide Degradation	5.99E-01		2.86E-01	ASAH2B,NAAA	
Glycoaminoglycan-protein Linkage Region Biosynthesis	5.99E-01		2.86E-01	B3GALT6,XYLT1	
Glycogen Biosynthesis II (from UDP-D-Glucose)	5.99E-01		2.86E-01	GYG1,UGP2	
Inositol Pyrophosphates Biosynthesis	5.99E-01		2.86E-01	IPMK,IPPK	
TYSND1 cleaves peroxisomal proteins	5.99E-01		2.86E-01	ACOX1,SCP2	
Melanoma Signaling	6E-01	0.3333333333333333	1.80E-01	AKT3,BAD,MAP2K2,PIK3CB,PIK3R6,RAF1,RALB,RAP2B,TP53	
Hereditary Breast Cancer Signaling	6.03E-01	0.42640143271122083	1.62E-01	AKT3,BACH1,CDC25C,CREBBP,EGF,EP300,FANCF,GADD45A,GADD45B,GADD45G,HGF,MSH2,NBN,PIK3CB,PIK3R6,POLR2A,POLR2J,RAD51C,RALB,RAP2B,TP53,WEE1	
Macropinocytosis Signaling	6.03E-01	1.1338934190276817	1.71E-01	EGF,HGF,ITGB2,ITGB3,ITGB4,ITGB5,PIK3CB,PIK3R6,PRKCD,RAB5A,RAC1,RALB,RAP2B	
Xenobiotic Metabolism AHR Signaling Pathway	6.03E-01	1.507556722888818	1.71E-01	ALDH16A1,ALDH1A2,ALDH6A1,CREBBP,EP300,GSTK1,GSTO1,GSTO2,HDAC4,NFKB1,NFKB2,NQO2,RELB	
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	6.07E-01	2.4009801919951235	1.56E-01	AKT3,ALPL,BMP3,CD70,CLCF1,CSNK1A1,CSNK1D,CTSA,CTSB,CTSD,FZD1,FZD5,GSK3B,IGF1R,IGF2R,IL15,IL6R,JAK2,JAK3,LIF,MMP24,MMP25,MMP8,MMP9,OSM,PIK3CB,PIK3R6,STAT1,STAT3,STAT5A,STAT5B,TCF7L1,TNFSF8,WNT10A,WNT6	
Opioid Signalling	6.08E-01	2.32379000772445	1.69E-01	ADCY3,ADCY4,CAMKK1,GNA15,GNAQ,GNG10,GNG7,ITPR1,ITPR2,KPNA2,PDE4B,PLA2G4A,PPP3R1,PRKAR2B,PRKCD	
Gene and protein expression by JAK-STAT signaling after IL-12 stimulation	6.08E-01	-2.6457513110645903	1.89E-01	ARF1,GSTO1,HNRNPDL,LCP1,LMNB1,PITPNA,SOD2	
Mitochondrial Fatty Acid Beta-Oxidation	6.08E-01	-1.889822365046136	1.89E-01	ACAD11,ACOT11,ACOT2,ACSF2,ACSM3,DECR1,HADH	
CNTF Signaling	6.15E-01	1.8973665961010275	1.79E-01	GRB2,JAK2,MAP2K2,PIK3CB,PIK3R6,RAF1,RALB,RAP2B,STAT1,STAT3	
NAP1L1 Transcription Regulation Signaling Pathway	6.18E-01	1.6035674514745464	1.71E-01	AKT3,DLAT,H3-3B,HDGF,MCL1,MYH9,NFKB1,NFKB2,NFKBIA,PIK3CB,PIK3R6,TP53,TUBA1C,TUBA4A	
M-decay: degradation of maternal mRNAs by maternally stored factors	6.21E-01	2.1213203435596424	1.86E-01	CNOT11,DICER1,EIF4G1,ELL2,KDM4B,KPNA2,MED12L,TET2	
Triacylglycerol Degradation	6.21E-01	0.8164965809277261	1.86E-01	ABHD16A,ABHD2,ABHD6,CEL,DPH7,FAAH,NDST1,TNFAIP6	
Bone Mineralization Signaling Pathway	6.23E-01	0.42640143271122083	1.63E-01	ALPL,ATP2B1,CALB1,DBP,FGFR2,FGFR3,FZD1,FZD5,GNA15,GNAQ,IGF1R,IGF2R,PLCD1,PLCL2,SLC8A1,SMPD3,STAT5A,STAT5B,TCF7L1,VDR,WNT10A,WNT6	
G Beta Gamma Signaling	6.29E-01	1.6059101370939322	1.64E-01	AKT3,CACNA1A,CACNA1E,CACNA2D3,CACNB4,CACNG8,GNA12,GNA15,GNAQ,GNAT2,GNG10,GNG7,GRB2,ITPR1,ITPR2,PRKAR2B,PRKCD,RAF1,RALB,RAP2B,SOS2	
BMP signaling pathway	6.33E-01	2.138089935299395	1.70E-01	BMP3,BMP8B,CREBBP,GRB2,MAP2K2,MAPK13,MAPK14,NFKB1,NFKB2,PRKAR2B,RAF1,RALB,RAP2B,RELB,XIAP	
Putrescine Degradation III	6.33E-01	2.0	2.22E-01	ALDH1A2,MAOA,MAOB,SAT1	
Tumoricidal Function of Hepatic Natural Killer Cells	6.34E-01		2.08E-01	CYCS,FAS,ICAM1,LYVE1,SRGN	
Heme signaling	6.34E-01	-0.3333333333333333	1.84E-01	BACH1,CREBBP,EP300,LY96,NFE2L2,PPARA,SMARCD3,TBL1X,TLR4	
PFKFB4 Signaling Pathway	6.34E-01	3.0	1.84E-01	CREB5,CREBBP,HK1,HK3,MAP2K2,MAP2K6,PFKFB4,PRKAR2B,TP53	
TP53 Regulates Transcription of Cell Cycle Genes	6.34E-01	2.3333333333333335	1.84E-01	CCNA1,CDC25C,CNOT11,EP300,GADD45A,PLAGL1,PLK3,TFDP1,TP53	
Netrin Signaling	6.35E-01	2.3533936216582085	1.61E-01	ACTR3,AKT3,ARPC1B,CACNA1A,CACNA1E,CACNA2D3,CACNB4,CACNG8,ITPR1,ITPR2,MAP2K2,NAPB,NFAT5,NFKB1,NFKB2,PIK3CB,PIK3R6,PPP3R1,PRKAR2B,PRKCD,RAC1,RAC2,RYR1,STX16,TRIM9,UNC5B,VAMP3	
Protein ubiquitination	6.4E-01	0.8164965809277261	2.00E-01	UBE2B,UBE2G2,UBE2H,UBE2R2,UCHL3,USP9X	
Signaling by NTRK3 (TRKC)	6.4E-01	1.6329931618554523	2.00E-01	CASP1,CASP10,CASP4,CASP5,GRB2,PTPRS	
Neurovascular Coupling Signaling Pathway	6.41E-01	3.181980515339464	1.58E-01	ABHD3,APP,CACNA1A,CACNA1E,CACNA2D3,CACNB4,CACNG8,ENTPD1,ENTPD4,ENTPD7,GABBR1,GNAQ,GRIN3A,GRINA,GUCY1B1,GUCY2C,ITPR1,ITPR2,KCNJ15,KCNJ2,KCNMA1,LCAT,MAPT,PLA2G2F,PLA2G4A,PLAAT5,PPP1CB,PPP1CC,PRKAR2B,ROCK1,RYR1,SLC1A3,TBXA2R,TRPV4	
GABAergic Receptor Signaling Pathway (Enhanced)	6.43E-01	-0.4472135954999579	1.64E-01	ADCY3,ADCY4,CACNA1A,CACNA1E,CACNA2D3,CACNB4,CACNG8,GABBR1,GLUL,GNG10,GNG7,GOT2,GRIN3A,GRINA,GUCY1B1,ITPR1,ITPR2,NRXN1,NRXN3,PRKAR2B,SLC38A2,SLC6A12	
Assembly of RNA Polymerase I Complex	6.46E-01		2.50E-01	POLR1D,POLR1E,TAF1B	
Signaling by LTK	6.46E-01		2.50E-01	ALKAL2,GRB2,PIK3CB	
UDP-N-acetyl-D-galactosamine Biosynthesis II	6.46E-01		2.50E-01	GNPNAT1,HK1,HK3	
Detoxification of Reactive Oxygen Species	6.48E-01	1.889822365046136	1.94E-01	CYBA,CYBB,CYCS,GPX3,GSR,NCF4,SOD2	
Glycerophospholipid biosynthesis	6.5E-01	2.836832573067901	1.65E-01	ABHD3,AGPAT4,CDIPT,CDS2,CHPT1,DGAT2,LPCAT2,LPGAT1,LPIN2,MBOAT1,MBOAT2,MIGA1,PCYT1A,PCYT1B,PGS1,PLA2G2F,PLA2G4A,PLAAT5,PLBD1,PLD4,PLD6	
Corticotropin Releasing Hormone Signaling	6.51E-01	3.709704134011871	1.63E-01	ADCY3,ADCY4,CACNA1A,CACNA1E,CACNA2D3,CACNB4,CACNG8,CREB5,CREBBP,FOS,GNAQ,GUCY1B1,GUCY2C,ITPR1,ITPR2,MAP2K2,MAPK13,MAPK14,MEF2A,MEF2B,PRKAR2B,PRKCD,PTCH1,RAF1	
Nuclear Cytoskeleton Signaling Pathway	6.54E-01	2.1908902300206643	1.58E-01	ACTR10,BLK,CDH23,HCK,ITGA2B,ITGA4,ITGA7,ITGA9,ITGAD,ITGAM,ITGAX,ITGB2,ITGB3,ITGB4,ITGB5,KIF1B,KIF22,KIF26B,KIF27,KLC3,LMNB1,LYN,NFKB1,NFKB2,NUP133,NUP160,NUP188,NUP37,NUP43,NUP54,NUP58,NUP93,NUP98,TUBA1C,TUBA4A	
SPINK1 General Cancer Pathway	6.61E-01	1.507556722888818	1.80E-01	AKT3,IL6R,JAK2,JAK3,MAP2K2,PIK3CB,PIK3R6,RAF1,RALB,RAP2B,STAT3	
Amyotrophic Lateral Sclerosis Signaling	6.66E-01	0.3333333333333333	1.68E-01	AKT3,CACNA1A,CACNA1E,CACNA2D3,CACNB4,CACNG8,CASP1,CYCS,GLUL,GRIN3A,GRINA,NAIP,NEFH,PIK3CB,PIK3R6,RAB5A,RAC1,TP53,XIAP	
Inositol phosphate metabolism	6.7E-01	0.3333333333333333	1.88E-01	INPP1,INPPL1,IPMK,IPPK,ITPKB,ITPKC,NUDT4,PLCD1,PLD4	
ERBB Signaling	6.73E-01	2.32379000772445	1.72E-01	EGF,ERBB2,FOS,GRB2,GSK3B,MAP2K2,MAP2K6,MAPK13,MAPK14,PIK3CB,PIK3R6,PRKCD,RAF1,RALB,RAP2B,SOS2	
Ribavirin ADME	6.74E-01	-0.5773502691896258	1.79E-01	ADK,BRSK2,ITPA,NT5C2,PI4K2B,PIK3CB,PIK3R6,SLC29A1,SLC29A3,STK16,STK3,STK33	
Extracellular matrix organization	6.76E-01	2.3570226039551585	1.70E-01	APP,CEACAM1,CEACAM6,CEACAM8,COL4A2,COL6A3,ITGA2B,ITGA7,ITGA9,ITGAX,ITGB3,ITGB4,ITGB5,LAMA5,NRXN1,NTN4,PTPRS,SPARC	
RAR Activation	6.77E-01	3.6765801200722312	1.53E-01	ACVR1B,ADAM17,ADCY3,ADCY4,AKR1C3,AKT3,ALDH1A2,CD70,CDK7,CLCF1,CNGB1,CREB5,CREBBP,CSF2RB,DHRS9,DUSP1,EGF,EP300,FOS,GATA6,GNA15,GNAQ,GNAT2,GUCY1B1,HIF1A,IL15,JAK2,LIF,MAPK13,MAPK14,MMP8,MMP9,NAPEPLD,NFKB1,NFKB2,OSM,PDE4B,PDE5A,PIK3CB,PIK3R6,PLD6,PML,PRKAR2B,PRKCD,PSMC5,RAC1,RAC2,RDH10,RDH5,RELB,RHOT1,SMAD3,SMARCD3,SOCS3,STAT5A,STAT5B,TDP2,TGM2,TNFSF8,TNIP1,TRIM24,TULP2	
FAT10 Signaling Pathway	6.81E-01		1.85E-01	MAP1LC3B,PSMA6,PSMB10,PSMB8,PSMB9,PSMC5,PSMD2,PSMD4,PSMD6,SQSTM1	
Apelin Cardiac Fibroblast Signaling Pathway	6.87E-01	0.0	2.17E-01	ACE2,AKT3,CCN2,PRKAB2,PRKAG3	
RAF-independent MAPK1/3 activation	6.87E-01	1.3416407864998738	2.17E-01	DUSP1,DUSP8,IL6R,JAK2,MAP2K2	
Surfactant metabolism	6.87E-01	0.0	2.07E-01	ADRA2A,CKAP4,CSF2RB,GATA6,P2RY2,SFTPD	
Histone Modification Signaling Pathway	6.9E-01	2.5955427380922007	1.58E-01	ASH1L,BAZ2A,CHD1,CHD4,CHUK,CREBBP,ELP3,EP300,GTF3C4,H1-10,H1-2,H1-3,H1-4,H1-6,H2BC15,H3-3B,HDAC4,IRF1,KAT2A,KAT6A,KDM2A,KDM3B,KDM4B,KDM5C,KDM6A,KDM7A,KMT2B,KMT2D,KMT5A,MSL3,NFKB1,NFKB2,PHF19,PHF21A,PHF23,RNF20,SETD2,SETDB1,SIRT7,TGM2,TRIM24,USP44,YWHAQ	
Cytoprotection by HMOX1	6.93E-01	0.30151134457776363	1.83E-01	BACH1,COX5A,COX6C,CREBBP,CYCS,HMOX2,NFE2L2,PPARA,SMARCD3,STAT3,TBL1X	
NIK-->noncanonical NF-kB signaling	6.93E-01	2.7136021011998728	1.83E-01	CHUK,NFKB2,PSMA6,PSMB10,PSMB8,PSMB9,PSMC5,PSMD2,PSMD4,PSMD6,RELB	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	6.96E-01	1.0	2.35E-01	INPPL1,IPMK,ITPKB,ITPKC	
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	6.96E-01	2.0	2.35E-01	GRB2,IGF1R,IRS2,PIK3CB	
DAG and IP3 signaling	6.98E-01	1.414213562373095	1.95E-01	ADCY3,ADCY4,CAMKK1,ITPR1,ITPR2,KPNA2,PRKAR2B,PRKCD	
Pyrimidine Ribonucleotides De Novo Biosynthesis	6.98E-01	1.6329931618554523	1.95E-01	AK4,DDX3X,DHODH,ENTPD1,ENTPD4,ENTPD7,NUDT16,UMPS	
Signaling by Retinoic Acid	6.98E-01	0.7071067811865475	1.95E-01	AKR1C3,ALDH1A2,DHRS9,DLAT,PDK1,PDK3,RDH10,RDH5	
Telomerase Signaling	7.01E-01	2.138089935299395	1.71E-01	AKT3,EGF,ELF2,ELF4,ETS2,GRB2,HDAC4,HDAC9,MAP2K2,PIK3CB,PIK3R6,RAF1,RALB,RAP2B,SOS2,TERF2IP,TP53,TPP1	
Chondroitin and Dermatan Biosynthesis	7.05E-01		3.33E-01	CHSY1,CSGALNACT2	
SLC15A4:TASL-dependent IRF5 activation	7.05E-01		3.33E-01	CHUK,SLC15A4	
Trehalose Degradation II (Trehalase)	7.05E-01		3.33E-01	HK1,HK3	
Pyridoxal 5'-phosphate Salvage Pathway	7.05E-01	2.7136021011998728	1.82E-01	ADPGK,CDK7,CSNK1A1,CSNK1D,DYRK1A,LIMK1,LIMK2,MAP2K2,MAP2K6,PRKCD,PSTK,SGK1	
Epigenetic regulation of gene expression by MLL3 and MLL4 complexes	7.08E-01	2.5584085962673253	1.68E-01	ACSL1,ACSS3,ASH2L,CCNC,CREBBP,DGAT2,EP300,GPS2,H2BC15,H3-3B,H3C1,H3C6,KDM6A,KMT2D,MED10,MED12,MED16,MED24,NCOA4,PAGR1,PLIN4,TBL1X	
Gene Silencing by RNA	7.21E-01	-0.6255432421712244	1.68E-01	AGO4,DICER1,H2BC15,H3-3B,H3C1,H3C6,HENMT1,NUP133,NUP160,NUP188,NUP210,NUP37,NUP43,NUP54,NUP58,NUP93,NUP98,PLD6,POLR2A,POLR2J,PRKRA,TARBP2,TDRD9	
Alpha-protein kinase 1 signaling pathway	7.27E-01		2.73E-01	ALPK1,TAB3,TIFA	
Co-stimulation by ICOS	7.27E-01		2.73E-01	ICOSLG,PIK3CB,PIK3R6	
O-linked glycosylation	7.28E-01	2.23606797749979	1.71E-01	ADAMTS2,ADAMTSL4,B3GNT6,B3GNT8,B3GNTL1,B4GALT5,B4GALT6,CFP,EMID1,FUT10,FUT11,GALNT14,GALNT4,GCNT1,GCNT7,MMRN1,MUC5AC,ST3GAL2,ST3GAL4,ST6GALNAC2	
Cargo concentration in the ER	7.37E-01	1.889822365046136	2.06E-01	CD59,CNIH1,F8,LMAN2,MIA2,SEC24B,SERPINA1	
MTOR signalling	7.37E-01	1.6329931618554523	2.14E-01	EEF2K,EIF4G1,LAMTOR1,RRAGA,RRAGB,RRAGD	
